0,0,270,14
1,0,215,17
2,0,137,8
3,0,313,10
4,1,419,9
5,1,138,9
6,1,338,10
7,1,267,19
8,1,19,14
9,1,141,10
10,1,301,18
11,2,380,13
12,2,165,6
13,2,160,11
14,2,272,4
15,2,350,15
16,3,385,12
17,3,310,8
18,3,17,5
19,3,66,4
20,3,240,16
21,4,118,13
22,4,313,11
23,4,28,18
24,4,336,14
25,4,347,15
26,5,374,1
27,5,326,13
28,5,217,6
29,5,264,10
30,6,28,1
31,6,213,19
32,6,2,5
33,6,273,7
34,6,318,4
35,6,166,14
36,6,354,14
37,7,277,7
38,7,178,8
39,7,214,14
40,8,145,16
41,8,233,8
42,8,206,17
43,8,139,9
44,8,295,13
45,8,94,2
46,8,150,1
47,8,290,20
48,9,370,4
49,9,109,3
50,9,387,6
51,9,395,9
52,10,202,13
53,10,285,1
54,10,70,18
55,10,334,2
56,10,374,5
57,11,402,9
58,11,335,19
59,11,144,1
60,11,207,9
61,11,96,14
62,11,72,13
63,12,82,19
64,12,315,2
65,12,388,7
66,12,285,19
67,12,22,13
68,12,284,19
69,12,359,3
70,12,22,2
71,13,247,20
72,13,112,17
73,13,92,18
74,13,208,6
75,13,250,17
76,13,31,13
77,14,321,4
78,14,177,12
79,14,378,20
80,14,64,17
81,14,418,18
82,14,170,17
83,14,90,3
84,14,39,11
85,15,119,9
86,15,45,4
87,15,155,14
88,15,71,5
89,15,118,5
90,16,108,19
91,16,151,3
92,16,176,6
93,16,348,19
94,16,330,4
95,16,25,20
96,16,100,11
97,17,244,11
98,17,348,19
99,17,44,4
100,18,114,3
101,18,343,4
102,18,2,13
103,19,105,19
104,19,354,6
105,19,173,1
106,19,324,15
107,19,405,9
108,20,7,8
109,20,176,17
110,20,204,5
111,20,337,7
112,20,143,10
113,20,183,19
114,21,120,14
115,22,374,19
116,22,44,6
117,22,198,17
118,22,31,20
119,23,7,6
120,23,40,19
121,23,390,11
122,23,332,14
123,23,0,11
124,23,267,1
125,23,140,1
126,23,391,3
127,24,39,6
128,24,278,18
129,24,11,9
130,24,107,7
131,24,290,6
132,24,14,3
133,24,76,2
134,25,95,20
135,25,102,12
136,25,127,18
137,25,314,15
138,25,309,1
139,25,305,10
140,25,108,12
