0,0,377,9
1,0,304,16
2,0,270,10
3,0,38,5
4,0,525,18
5,0,246,4
6,1,221,10
7,1,326,2
8,1,69,10
9,1,329,18
10,1,108,6
11,1,195,5
12,1,37,1
13,1,314,4
14,2,369,19
15,2,46,19
16,2,305,6
17,2,143,4
18,2,458,19
19,3,466,10
20,3,537,3
21,3,414,14
22,3,319,8
23,3,233,13
24,3,342,3
25,3,274,8
26,4,157,6
27,4,446,7
28,4,472,4
29,4,225,10
30,4,201,9
31,5,292,20
32,5,459,2
33,5,281,16
34,5,197,9
35,6,377,20
36,6,272,15
37,6,233,15
38,6,266,7
39,6,151,15
40,6,340,7
41,7,510,15
42,7,117,13
43,7,373,6
44,7,194,11
45,7,183,4
46,7,11,9
47,7,413,9
48,7,287,10
49,9,356,13
50,9,511,15
51,9,412,20
52,9,319,14
53,9,312,14
54,9,3,9
55,9,423,14
56,9,222,19
57,10,55,2
58,10,159,12
59,10,194,8
60,10,78,9
61,10,315,7
62,10,29,9
63,10,17,14
64,10,261,15
65,12,162,10
66,12,164,6
67,12,117,9
68,12,147,11
69,13,15,4
70,13,2,4
71,13,539,19
72,13,139,2
73,13,326,12
74,14,376,2
75,14,238,7
76,14,263,5
77,14,221,12
78,14,434,20
79,14,246,1
80,15,276,2
81,15,156,1
82,15,247,17
83,15,533,12
84,15,233,13
85,16,173,14
86,16,75,15
87,16,251,16
88,16,76,10
89,16,403,1
90,16,168,18
91,16,110,8
92,17,477,6
93,17,385,6
94,17,288,12
95,17,227,13
96,17,513,6
97,17,470,3
98,18,224,20
99,18,164,6
100,18,460,15
101,18,231,8
102,18,49,5
103,18,394,20
104,18,254,15
105,19,467,7
106,19,165,2
107,20,415,13
108,20,497,5
109,20,12,11
110,20,251,4
111,20,503,4
112,21,295,9
113,21,502,2
114,21,532,8
115,21,274,16
116,21,459,7
117,21,68,3
118,21,140,19
119,21,230,14
120,22,106,14
121,22,283,14
122,22,200,20
123,22,51,10
124,22,139,17
125,23,303,19
126,23,228,6
127,23,8,5
128,23,279,6
129,23,168,13
130,24,218,8
131,24,146,17
132,24,2,15
133,24,23,11
134,24,274,9
135,24,115,10
136,24,313,2
137,24,302,13
138,25,417,12
139,25,489,6
140,25,149,8
141,25,275,14
142,25,434,17
143,26,124,10
144,26,395,19
145,26,236,19
146,26,30,10
147,26,523,11
148,26,210,2
149,27,99,8
150,27,306,10
151,27,435,19
152,27,140,6
153,27,480,3
154,27,205,19
155,28,400,3
156,28,394,2
157,28,140,1
158,28,395,3
159,28,165,18
160,29,73,11
161,29,38,5
162,29,306,5
163,29,267,5
164,29,98,2
165,29,485,8
166,29,440,2
167,30,210,15
168,30,103,16
169,30,327,11
170,30,54,4
171,31,68,1
172,31,242,5
173,31,335,8
174,31,274,11
175,31,286,3
176,32,31,12
177,32,218,12
178,32,441,15
179,32,365,9
180,32,379,19
181,32,427,10
182,32,161,10
183,33,331,8
